dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,n_reps,n_with_reversal,reversal_rate,q_min,q_p25,q_median,q_p75,q_max,q_mode,q_plus_1_min,q_plus_1_median,q_plus_1_max
diabetes,MAR,block,0.1,5,1000x50,20,19,0.95,8,8.0,8.0,9.0,10,8,9,9.0,10
diabetes,MAR,block,0.3,5,1000x50,20,20,1.0,7,7.0,7.0,9.0,9,7,8,8.0,10
diabetes,MAR,block,0.5,5,1000x50,20,20,1.0,6,7.0,8.0,9.0,9,9,7,9.0,10
diabetes,MAR,random,0.1,5,1000x50,20,20,1.0,8,8.0,8.0,8.0,8,8,9,9.0,9
diabetes,MAR,random,0.3,5,1000x50,20,20,1.0,8,8.0,8.0,8.0,8,8,9,9.0,9
diabetes,MAR,random,0.5,5,1000x50,20,20,1.0,8,8.0,8.0,8.0,8,8,9,9.0,9
diabetes,MCAR,block,0.1,5,1000x50,20,20,1.0,8,8.0,8.0,9.0,9,8,9,9.0,10
diabetes,MCAR,block,0.3,5,1000x50,20,20,1.0,7,7.0,7.5,9.0,9,7,8,8.5,10
diabetes,MCAR,block,0.5,5,1000x50,20,20,1.0,7,7.0,8.0,9.0,9,7,8,9.0,10
diabetes,MCAR,random,0.1,5,1000x50,20,20,1.0,8,8.0,8.0,8.0,8,8,9,9.0,9
diabetes,MCAR,random,0.3,5,1000x50,20,20,1.0,8,8.0,8.0,8.0,8,8,9,9.0,9
diabetes,MCAR,random,0.5,5,1000x50,20,20,1.0,7,8.0,8.0,8.0,8,8,8,9.0,9
synthetic,MAR,block,0.1,5,1000x50,20,20,1.0,20,21.0,23.0,24.0,25,24,21,24.0,26
synthetic,MAR,block,0.3,5,1000x50,20,20,1.0,18,19.0,21.0,22.0,22,22,19,22.0,23
synthetic,MAR,block,0.5,5,1000x50,20,20,1.0,18,19.75,20.0,21.0,23,20,19,21.0,24
synthetic,MAR,random,0.1,5,1000x50,20,20,1.0,22,23.0,24.0,24.0,27,24,23,25.0,28
synthetic,MAR,random,0.3,5,1000x50,20,20,1.0,20,22.0,23.5,24.0,26,24,21,24.5,27
synthetic,MAR,random,0.5,5,1000x50,20,20,1.0,20,20.75,21.0,22.25,23,21,21,22.0,24
synthetic,MCAR,block,0.1,5,1000x50,20,20,1.0,21,22.0,23.0,24.0,26,22,22,24.0,27
synthetic,MCAR,block,0.3,5,1000x50,20,20,1.0,19,19.75,20.0,21.0,22,20,20,21.0,23
synthetic,MCAR,block,0.5,5,1000x50,20,20,1.0,19,20.0,21.0,21.0,22,21,20,22.0,23
synthetic,MCAR,random,0.1,5,1000x50,20,20,1.0,22,23.0,24.0,24.0,27,24,23,25.0,28
synthetic,MCAR,random,0.3,5,1000x50,20,20,1.0,22,22.0,23.0,24.0,25,23,23,24.0,26
synthetic,MCAR,random,0.5,5,1000x50,20,20,1.0,18,19.0,20.0,21.0,22,19,19,21.0,23
wine,MAR,block,0.1,5,1000x50,20,20,1.0,8,8.0,9.0,9.0,9,9,9,10.0,10
wine,MAR,block,0.3,5,1000x50,20,20,1.0,6,7.0,7.0,7.0,8,7,7,8.0,9
wine,MAR,block,0.5,5,1000x50,20,20,1.0,6,7.0,7.0,7.0,8,7,7,8.0,9
wine,MAR,random,0.1,5,1000x50,20,20,1.0,8,8.0,9.0,9.0,9,9,9,10.0,10
wine,MAR,random,0.3,5,1000x50,20,20,1.0,7,7.0,8.0,8.0,9,8,8,9.0,10
wine,MAR,random,0.5,5,1000x50,20,20,1.0,6,6.75,7.0,7.0,7,7,7,8.0,8
wine,MCAR,block,0.1,5,1000x50,20,20,1.0,8,8.0,9.0,9.0,9,9,9,10.0,10
wine,MCAR,block,0.3,5,1000x50,20,20,1.0,7,7.0,7.0,7.25,9,7,8,8.0,10
wine,MCAR,block,0.5,5,1000x50,20,20,1.0,6,7.0,7.0,7.0,8,7,7,8.0,9
wine,MCAR,random,0.1,5,1000x50,20,20,1.0,8,8.0,9.0,9.0,9,9,9,10.0,10
wine,MCAR,random,0.3,5,1000x50,20,20,1.0,7,7.75,8.0,8.0,8,8,8,9.0,9
wine,MCAR,random,0.5,5,1000x50,20,20,1.0,6,6.0,6.0,7.0,7,6,7,7.0,8
