method,rmse,mae,wall_time_sec,vbpca_mean_variance,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mean_pca,0.6472617628054412,0.5101354580224915,0.0009948870010703104,,synthetic,MCAR,random,0.3,5,300x25,0,1050488062,1019188983,2095881704,300,25,2250
mice_pca,0.3900905797915612,0.2911854773368996,0.13813004499934323,,synthetic,MCAR,random,0.3,5,300x25,0,1050488062,1019188983,2095881704,300,25,2250
vbpca_vb_modern,0.49085922221172995,0.37154473936876914,0.6722352590004448,0.06349159812246502,synthetic,MCAR,random,0.3,5,300x25,0,1050488062,1019188983,2095881704,300,25,2250
mean_pca,0.657837651491477,0.5116749802914824,0.0008049930002016481,,synthetic,MCAR,random,0.3,5,300x25,1,225673943,661166173,618933412,300,25,2250
mice_pca,0.42200156653990234,0.319550131812653,0.13299576499957766,,synthetic,MCAR,random,0.3,5,300x25,1,225673943,661166173,618933412,300,25,2250
vbpca_vb_modern,0.5407221799730786,0.4104213883857465,0.6486273470000015,0.0647217759273585,synthetic,MCAR,random,0.3,5,300x25,1,225673943,661166173,618933412,300,25,2250
mean_pca,0.6639191193348305,0.5192835937956046,0.0008053199999267235,,synthetic,MCAR,random,0.3,5,300x25,2,1438625598,516574922,238105637,300,25,2250
mice_pca,0.42280890582021313,0.3175374026548192,0.1177272120003181,,synthetic,MCAR,random,0.3,5,300x25,2,1438625598,516574922,238105637,300,25,2250
vbpca_vb_modern,0.5422225664218447,0.40879188130813005,0.6668830170001456,0.06972172287393077,synthetic,MCAR,random,0.3,5,300x25,2,1438625598,516574922,238105637,300,25,2250
mean_pca,0.6619486795874325,0.5176951831951924,0.0009458229997107992,,synthetic,MCAR,random,0.3,5,300x25,3,1529157097,32303229,1147143811,300,25,2250
mice_pca,0.4542063890546499,0.3413479572692444,0.11560509899936733,,synthetic,MCAR,random,0.3,5,300x25,3,1529157097,32303229,1147143811,300,25,2250
vbpca_vb_modern,0.5738467840084633,0.43212201224416774,0.6411738480001077,0.07293570015756166,synthetic,MCAR,random,0.3,5,300x25,3,1529157097,32303229,1147143811,300,25,2250
mean_pca,0.6476726736725964,0.5086197151703827,0.0007665440007258439,,synthetic,MCAR,random,0.3,5,300x25,4,146275117,273493177,265066453,300,25,2250
mice_pca,0.40925694027988213,0.3022261424215381,0.11148467000020901,,synthetic,MCAR,random,0.3,5,300x25,4,146275117,273493177,265066453,300,25,2250
vbpca_vb_modern,0.5195967507736735,0.38873263912727835,0.650258498999392,0.0630310901915958,synthetic,MCAR,random,0.3,5,300x25,4,146275117,273493177,265066453,300,25,2250
mean_pca,0.6763955036470151,0.5378970629046715,0.0007772960016154684,,synthetic,MCAR,random,0.3,5,300x25,5,1975599645,1828552645,292351394,300,25,2250
mice_pca,0.44049719984993974,0.3382429497621979,0.10928263499954483,,synthetic,MCAR,random,0.3,5,300x25,5,1975599645,1828552645,292351394,300,25,2250
vbpca_vb_modern,0.5547565333224475,0.42881809639571355,0.6559077490001073,0.0685102119646366,synthetic,MCAR,random,0.3,5,300x25,5,1975599645,1828552645,292351394,300,25,2250
